environment_id,grid_id,recorded_date,aqi,temperature_c,rainfall_mm
ENV101,G015,2026-08-20,96,32.0,4.0
ENV102,G015,2026-08-21,119,28.5,23.0
ENV103,G015,2026-08-22,142,35.0,42.0
ENV104,G015,2026-08-23,165,31.5,14.0
ENV105,G015,2026-08-24,70,27.0,33.0
ENV106,G016,2026-08-18,67,34.5,24.0
ENV107,G016,2026-08-19,90,30.0,43.0
ENV108,G016,2026-08-20,113,26.5,15.0
ENV109,G016,2026-08-21,136,33.0,34.0
ENV110,G016,2026-08-22,159,29.5,6.0
ENV111,G016,2026-08-23,64,25.0,25.0
ENV112,G016,2026-08-24,87,32.5,44.0
ENV113,G017,2026-08-18,84,28.0,35.0
ENV114,G017,2026-08-19,107,35.5,7.0
ENV115,G017,2026-08-20,130,31.0,26.0
ENV116,G017,2026-08-21,153,27.5,45.0
ENV117,G017,2026-08-22,58,34.0,17.0
ENV118,G017,2026-08-23,81,30.5,36.0
ENV119,G017,2026-08-24,104,26.0,8.0
ENV120,G018,2026-08-18,101,33.5,46.0
ENV121,G018,2026-08-19,124,29.0,18.0
ENV122,G018,2026-08-20,147,25.5,37.0
ENV123,G018,2026-08-21,52,32.0,9.0
ENV124,G018,2026-08-22,75,28.5,28.0
ENV125,G018,2026-08-23,98,35.0,0.0
ENV126,G018,2026-08-24,121,31.5,19.0
ENV127,G019,2026-08-18,118,27.0,10.0
ENV128,G019,2026-08-19,141,34.5,29.0
ENV129,G019,2026-08-20,164,30.0,1.0
ENV130,G019,2026-08-21,69,26.5,20.0
ENV131,G019,2026-08-22,92,33.0,39.0
ENV132,G019,2026-08-23,115,29.5,11.0
ENV133,G019,2026-08-24,138,25.0,30.0
ENV134,G020,2026-08-18,135,32.5,21.0
ENV135,G020,2026-08-19,158,28.0,40.0
ENV136,G020,2026-08-20,63,35.5,12.0
ENV137,G020,2026-08-21,86,31.0,31.0
ENV138,G020,2026-08-22,109,27.5,3.0
ENV139,G020,2026-08-23,132,34.0,22.0
ENV140,G020,2026-08-24,155,30.5,41.0
ENV141,G021,2026-08-18,152,26.0,32.0
ENV142,G021,2026-08-19,57,33.5,4.0
ENV143,G021,2026-08-20,80,29.0,23.0
ENV144,G021,2026-08-21,103,25.5,42.0
ENV145,G021,2026-08-22,126,32.0,14.0
ENV146,G021,2026-08-23,149,28.5,33.0
ENV147,G021,2026-08-24,54,35.0,5.0
ENV148,G022,2026-08-18,51,31.5,43.0
ENV149,G022,2026-08-19,74,27.0,15.0
ENV150,G022,2026-08-20,97,34.5,34.0
ENV151,G022,2026-08-21,120,30.0,6.0
ENV152,G022,2026-08-22,143,26.5,25.0
ENV153,G022,2026-08-23,48,33.0,44.0
ENV154,G022,2026-08-24,71,29.5,16.0
ENV155,G023,2026-08-18,68,25.0,7.0
ENV156,G023,2026-08-19,91,32.5,26.0
ENV157,G023,2026-08-20,114,28.0,45.0
ENV158,G023,2026-08-21,137,35.5,17.0
ENV159,G023,2026-08-22,160,31.0,36.0
ENV160,G023,2026-08-23,65,27.5,8.0
ENV161,G023,2026-08-24,88,34.0,27.0
ENV162,G024,2026-08-18,85,30.5,18.0
ENV163,G024,2026-08-19,108,26.0,37.0
ENV164,G024,2026-08-20,131,33.5,9.0
ENV165,G024,2026-08-21,154,29.0,28.0
ENV166,G024,2026-08-22,59,25.5,0.0
ENV167,G024,2026-08-23,82,32.0,19.0
ENV168,G024,2026-08-24,105,28.5,38.0
